from,to,total_amount_usd,transfer_count,from_first_funded_by,from_received_volume_usd,from_is_smart_contract,to_first_funded_by,to_received_volume_usd,to_is_smart_contract
0x00438383e9b2175a538c5e7d5db0dae770a6db3b,0xbc8ac2ce257e0d0ae89a2de7d2ac7f907aa21dad,4830.13105,1,0xcc642f7a774b1f4f57e5cfecd81fb68ed8045b1a,12582.79683,,0x7bd95c84ca83e4c982298fdef74fe1c55c8fe120,29151.6711,
0x00a94be77ec71c252edd322468656b1b49582232,0xef747812151c33050b338662d8c166a6f88bddb8,107.828567,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,176.5275652,FALSE,0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,110.3901894,FALSE
0x027da949f1c33460b04a3999c07d26b7414a92f7,0x461e5be9f006928d165917130b7539ba06c9fc1f,1961.069017,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,2602.68418,,,1961.281193,
0x02a02b4aad60b98886804bb37cc35e5e084e901b,0xb5c05ec4285c176f8fa20f1b69c1daaf13bf0038,49856.44334,2,0x9696f59e4d72e237be84ffd425dcad154bf96976,136984.6916,FALSE,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,89231.93673,FALSE
0x03affa424ef3cc86e7a63543b6f26e616de5970a,0xabaadc376f25f3579b42d322fb0b24137e4b6d43,29577.25834,5,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,57514.61037,,0xd7300f44b416542baee5207e58fe301236a1faf9,29573.12371,
0x05696646062e9b187142469989fb52beca0123c6,0x864532b55d24e51bbdb801fdf146b28682576e80,2708.541667,2,,8121.385369,,,10033.50239,
0x058fe2b98136a0238b7b0896b56d209356c9e637,0x1f8b5416a7847e050af032c7107cff2dd4ca8403,3447046.607,476,0x6e8a925dc64ada4128de68db8674791327b02e6f,7114669.968,FALSE,0x058fe2b98136a0238b7b0896b56d209356c9e637,9636937.043,FALSE
0x0604287475f19dfda9dc069fa8821cd5b9a3358a,0x1d5d6084f1c5f25a2386ef810463cd8821e66c31,4260.762812,3,,6370.705137,,0xd9db2f55e3d5b021ad8f0d8c18c87388db8608e1,8655.652028,
0x060505d9bd20fc43bb250cf73097478edd2be59c,0xb64a572c13ca350a4e9550bc8c710ee5a5b4164b,45911.54787,13,0x2a031ae5d87d6c628d4322a5ad9bda9fdbd651e8,222792.8967,,0x98db3a41bf8bf4ded2c92a84ec0705689ddeef8b,717706.4436,FALSE
0x06218db5b67f24506ace5591551ce4a77e8b0840,0x62b2f56001b93e642c1fa17c17dfd1aeb39c1529,3987.459326,9,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,8313.115441,,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,33975.66607,
0x063679a9b7ae98065b6c8c36a5c299175afdd7e0,0xa3806bfb0c6ec1f7d82d1f3c16227c15fa4c2080,25493.32889,5,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,77274.34316,,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,94922.98761,
0x063679a9b7ae98065b6c8c36a5c299175afdd7e0,0xb408bf84969acbe3e820d79a0810c1140addcb70,21990.38735,2,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,77274.34316,,0x463e5b673d1029989c9b059d36393c539bef9094,126596.8771,
0x063679a9b7ae98065b6c8c36a5c299175afdd7e0,0x11d6d86f12f9392ad0f000756e345e52d6e95e86,18328.20188,4,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,77274.34316,,0x9b79cc64cd3e5ec86d951acb27ddbd9ed660cd07,39735.56502,
0x068389a09eff7d1f7362d2066dc8a92c192ad06d,0x10889695831328f8fc3005e4cd144ada60e57e6e,791.6654914,1,0xa345ad0fe1a2461f3a246c794a1e0714bee9d32f,4084.692968,,0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,4848.797177,
