to,contract_address,total_amount,transfer_count,token,count,to_funded_by?,to_inflow
0x7c60d23df5fdfee895ac44a41efdd5349dee2600,0x35e08236cc2cbcca6bbbc0301ffcd9bc21f5ef6b,93550000,1871,,3,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x7c60a3bca535cd5e42dec53bb6c6103720a22600,0xb248410db0ef5a6f69a031dec59468a5cee57175,88100000,1762,,14,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x9a32773b64f03edddb669cf9bb8632b72511a9ca,0xdcaf12552a6fa4a4ad1b0c087c10afbf3652f98d,6201000,675,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xcc5b05958de68b644dc0317fdba58e5c50074d29,0xdcaf12552a6fa4a4ad1b0c087c10afbf3652f98d,14286479.67,656,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x98ea18f3bf9820fdeef631751d17977630074d29,0xa5a47b807de33fb5c647069742e18f4c149f6c93,12423025.8,580,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x32917dc3f4d70eed66e28853fb510374d511a9ca,0xa5a47b807de33fb5c647069742e18f4c149f6c93,5195000,579,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0xa1bfbc400d6437a416c831063ee0c714a746bed5,0x2c77b0f2c5dd9896d77190fc96e08b597f0ddaf4,907241.72,476,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x0ab0994115b711ae2fcc776548dee19c4cc9bed5,0x8bcf67bb8c5f5f3a13dc28eb4cf9ed551fbb3c71,669004.47,360,,1,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x7c60a3bca535cd5e42dec53bb6c6103720a22600,0xe68f87e4d841eab808b0420b15c1c618e5fca568,13650000,273,,14,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x7c60d23df5fdfee895ac44a41efdd5349dee2600,0xcc555a322fe7b7c85c5d7e446fda1ca41e386b05,11900000,238,,3,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
0x2877478d27c03b1e85cb6809bc3328a5f0b1d744,0x520321ad2eeb7f6f8da74f2b19679e439ff2587e,281120,140,,3,0x2f081a330cf0edd7f5f819eed6a455327fbdd08e,#N/A
